Transaction Count Report 
 State, Transaction Count
    134 
    131 TX
    103 CA
     96 FL
     60 NY
     51 OH
     49 VA
     48 DC
     40 GA
     33 CO
     32 MN
     30 WA
     30 PA
     30 LA
     30 KY
     27 AL
     25 NV
     24 IN
     22 MI
     22 IL
     22 AZ
     21 NJ
     21 NC
     21 MO
     21 KS
     19 OK
     15 WV
     14 TN
     14 OR
     13 IA
     12 SC
     11 MD
     10 NM
     10 NE
      9 MA
      9 CT
      8 WI
      6 UT
      6 AK
      5 AR
      4 MS
      4 ID
      4 HI
      3 SD
      2 NH
      2 MT
      2 DE
      1 state
      1 VT
      1 ND
